Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls
Club/Bar/Restaurant,10012,NEW YORK,MANHATTAN,40.7297934835997,-73.9988418113143,"18"
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.8663762558883,-73.9282581232273,"160"
Club/Bar/Restaurant,10029,NEW YORK,MANHATTAN,40.7918611552297,-73.9453915904407,"211"
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.7187947216474,-73.9890116493445,"41"
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.8695493398823,-73.9163483681302,"271"
Club/Bar/Restaurant,10013,NEW YORK,MANHATTAN,40.7227887783814,-74.0045961909659,"43"
Club/Bar/Restaurant,10003,NEW YORK,MANHATTAN,40.725810569583,-73.9919905756501,"42"
Club/Bar/Restaurant,10128,NEW YORK,MANHATTAN,40.7793338265134,-73.9506699474968,"16"
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.7234936736955,-73.9882532526608,"1175"
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.7232027319365,-73.9882785578958,"24"
Club/Bar/Restaurant,10040,NEW YORK,MANHATTAN,40.8643770322675,-73.9265357497056,"458"
Club/Bar/Restaurant,10011,NEW YORK,MANHATTAN,40.7425209081255,-74.0005196605319,"23"
Club/Bar/Restaurant,10033,NEW YORK,MANHATTAN,40.8471114498525,-73.9381824357717,"127"
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.729531072185,-73.980415503171,"52"
Club/Bar/Restaurant,10036,NEW YORK,MANHATTAN,40.7608139358095,-73.9871890156066,"19"
Club/Bar/Restaurant,10036,NEW YORK,MANHATTAN,40.7612618988415,-73.9942712964463,"43"
Club/Bar/Restaurant,10016,NEW YORK,MANHATTAN,40.7475204988124,-73.9824023963286,"40"
Club/Bar/Restaurant,10013,NEW YORK,MANHATTAN,40.7227174204806,-74.0044482711091,"14"
Club/Bar/Restaurant,10016,NEW YORK,MANHATTAN,40.7486066822413,-73.9781036910149,"70"
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.8621078121332,-73.9192860764304,"29"
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.868139674,-73.9304183327833,"14"
Club/Bar/Restaurant,10019,NEW YORK,MANHATTAN,40.7644911420032,-73.9816506539404,"44"
Club/Bar/Restaurant,10003,NEW YORK,MANHATTAN,40.7325043091898,-73.9848382963625,"80"
Club/Bar/Restaurant,10027,NEW YORK,MANHATTAN,40.8198655651344,-73.9585233555893,"118"
Club/Bar/Restaurant,10014,NEW YORK,MANHATTAN,40.7324970584684,-74.0018329711023,"217"
Club/Bar/Restaurant,10017,NEW YORK,MANHATTAN,40.7552424616016,-73.9732756844059,"16"
Club/Bar/Restaurant,10036,NEW YORK,MANHATTAN,40.76035852253,-73.9892863506163,"42"
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.7230655727897,-73.9890794914702,"98"
Club/Bar/Restaurant,10029,NEW YORK,MANHATTAN,40.7958551322693,-73.9355285213493,"148"
Club/Bar/Restaurant,10013,NEW YORK,MANHATTAN,40.719574756642,-73.9995057709603,"10"
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.7248371631877,-73.9783207529914,"127"
Club/Bar/Restaurant,10011,NEW YORK,MANHATTAN,40.7429490361902,-73.9964670074299,"85"
Club/Bar/Restaurant,10003,NEW YORK,MANHATTAN,40.7323478714449,-73.9849393616359,"41"
Club/Bar/Restaurant,10013,NEW YORK,MANHATTAN,40.7199260865201,-74.0002886024204,"55"
Club/Bar/Restaurant,10010,NEW YORK,MANHATTAN,40.7409149578675,-73.9920825852292,"40"
Club/Bar/Restaurant,10018,NEW YORK,MANHATTAN,40.750073652259,-73.9863681919089,"30"
Club/Bar/Restaurant,10028,NEW YORK,MANHATTAN,40.7775608766442,-73.9510214942763,"22"
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.721144587541,-73.9937011370085,"87"
Club/Bar/Restaurant,10018,NEW YORK,MANHATTAN,40.7561292284094,-73.9942970043044,"16"
Club/Bar/Restaurant,10019,NEW YORK,MANHATTAN,40.7657901640661,-73.9872819187916,"60"
Club/Bar/Restaurant,10016,NEW YORK,MANHATTAN,40.7493447919428,-73.976937701529,"48"
Club/Bar/Restaurant,10014,NEW YORK,MANHATTAN,40.7327220963109,-74.0032762664999,"31"
Club/Bar/Restaurant,10028,NEW YORK,MANHATTAN,40.7768094520052,-73.9525348935824,"11"
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.8672096874777,-73.9225338534853,"141"
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.8676918602251,-73.9212136168086,"16"
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.7259112432153,-73.9836492044371,"32"
Club/Bar/Restaurant,10001,NEW YORK,MANHATTAN,40.749288423791,-73.9845421376926,"63"
Club/Bar/Restaurant,10012,NEW YORK,MANHATTAN,40.7270761808586,-74.0001840037833,"40"
Club/Bar/Restaurant,10011,NEW YORK,MANHATTAN,40.7391530940071,-74.0011258742408,"76"
Club/Bar/Restaurant,10016,NEW YORK,MANHATTAN,40.7419561205935,-73.9779290492731,"13"
Club/Bar/Restaurant,10038,NEW YORK,MANHATTAN,40.7060759427853,-74.0042018995466,"17"
Club/Bar/Restaurant,10016,NEW YORK,MANHATTAN,40.7435960016098,-73.9860086360972,"40"
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.8694177621142,-73.9165799347365,"28"
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.863851956918,-73.9252311923814,"194"
Club/Bar/Restaurant,10012,NEW YORK,MANHATTAN,40.7267083506337,-74.0027564336186,"14"
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.7302944096577,-73.9822373651092,"66"
Club/Bar/Restaurant,10022,NEW YORK,MANHATTAN,40.7568602618822,-73.967095518665,"44"
Club/Bar/Restaurant,10011,NEW YORK,MANHATTAN,40.7391366258769,-74.0010861796882,"49"
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.7152212700387,-73.9917140879138,"184"
