field_1,zip_code,Complaintsbyzip,Fwbyzip,zip_num,311real,percentFW,percentFWdecimal
"109","10470.0","446","6.0","10470","446","1",1.345
"110","10471.0","613","8.0","10471","613","1",1.305
"111","10472.0","2955","30.0","10472","2955","1",1.015
"112","10473.0","1461","38.0","10473","1461","3",2.601
"113","10474.0","597","6.0","10474","597","1",1.005
"114","10475.0","440","6.0","10475","440","1",1.364
"115","11001.0","63","0","11001","63","0",0.000
"116","11004.0","217","0","11004","217","0",0.000
"117","11005.0","10","0","11005","10","0",0.000
"118","11040.0","41","0","11040","41","0",0.000
"119","11101.0","1619","27.0","11101","1619","2",1.668
"120","11102.0","882","51.0","11102","882","6",5.782
"121","11103.0","1034","5.0","11103","1034","0",0.484
"122","11104.0","557","12.0","11104","557","2",2.154
"123","11105.0","1216","24.0","11105","1216","2",1.974
"124","11106.0","954","18.0","11106","954","2",1.887
"125","11109.0","198","16.0","11109","198","8",8.081
"126","11201.0","1684","9.0","11201","1684","1",0.534
"127","11203.0","2369","195.0","11203","2369","8",8.231
"128","11204.0","1288","18.0","11204","1288","1",1.398
"129","11205.0","1346","27.0","11205","1346","2",2.006
"130","11206.0","2275","63.0","11206","2275","3",2.769
"131","11207.0","3212","58.0","11207","3212","2",1.806
"132","11208.0","3773","119.0","11208","3773","3",3.154
"133","11209.0","1718","35.0","11209","1718","2",2.037
"134","11210.0","1682","41.0","11210","1682","2",2.438
"135","11211.0","2724","36.0","11211","2724","1",1.322
"136","11212.0","2179","124.0","11212","2179","6",5.691
"137","11213.0","2282","104.0","11213","2282","5",4.557
"138","11214.0","1513","29.0","11214","1513","2",1.917
"139","11215.0","1914","14.0","11215","1914","1",0.731
"140","11216.0","2421","83.0","11216","2421","3",3.428
"141","11217.0","1285","29.0","11217","1285","2",2.257
"142","11218.0","1632","40.0","11218","1632","2",2.451
"143","11219.0","1237","11.0","11219","1237","1",0.889
"144","11220.0","2000","53.0","11220","2000","3",2.650
"145","11221.0","3043","69.0","11221","3043","2",2.267
"146","11222.0","1577","48.0","11222","1577","3",3.044
"147","11223.0","1470","54.0","11223","1470","4",3.673
"148","11224.0","1039","36.0","11224","1039","3",3.465
"149","11225.0","2139","73.0","11225","2139","3",3.413
"150","11226.0","4289","454.0","11226","4289","11",10.585
"151","11228.0","783","14.0","11228","783","2",1.788
"152","11229.0","1686","31.0","11229","1686","2",1.839
"153","11230.0","1582","12.0","11230","1582","1",0.759
"154","11231.0","981","9.0","11231","981","1",0.917
"155","11232.0","919","16.0","11232","919","2",1.741
"156","11233.0","2603","93.0","11233","2603","4",3.573
"157","11234.0","2099","39.0","11234","2099","2",1.858
"158","11235.0","1706","16.0","11235","1706","1",0.938
"159","11236.0","2115","121.0","11236","2115","6",5.721
"160","11237.0","1909","76.0","11237","1909","4",3.981
"161","11238.0","2401","69.0","11238","2401","3",2.874
"162","11239.0","215","2.0","11239","215","1",0.930
"163","11242.0","1","0","11242","1","0",0.000
"164","11249.0","1177","81.0","11249","1177","7",6.882
"165","11251.0","2","0","11251","2","0",0.000
"166","11354.0","850","20.0","11354","850","2",2.353
"167","11355.0","1158","4.0","11355","1158","0",0.345
"168","11356.0","1166","7.0","11356","1166","1",0.600
"169","11357.0","1111","35.0","11357","1111","3",3.150
"170","11358.0","676","11.0","11358","676","2",1.627
"171","11359.0","10","1.0","11359","10","10",10.000
"172","11360.0","212","6.0","11360","212","3",2.830
"173","11361.0","511","11.0","11361","511","2",2.153
"174","11362.0","281","0","11362","281","0",0.000
"175","11363.0","159","0","11363","159","0",0.000
"176","11364.0","541","36.0","11364","541","7",6.654
"177","11365.0","900","25.0","11365","900","3",2.778
"178","11366.0","1627","8.0","11366","1627","0",0.492
"179","11367.0","575","6.0","11367","575","1",1.043
"180","11368.0","2582","41.0","11368","2582","2",1.588
"181","11369.0","827","11.0","11369","827","1",1.330
"182","11370.0","560","36.0","11370","560","6",6.429
"183","11371.0","1","0","11371","1","0",0.000
"184","11372.0","1283","22.0","11372","1283","2",1.715
"185","11373.0","1672","12.0","11373","1672","1",0.718
"186","11374.0","928","6.0","11374","928","1",0.647
"187","11375.0","1063","8.0","11375","1063","1",0.753
"188","11377.0","2243","44.0","11377","2243","2",1.962
"189","11378.0","1321","19.0","11378","1321","1",1.438
"190","11379.0","1240","58.0","11379","1240","5",4.677
"191","11385.0","3508","69.0","11385","3508","2",1.967
"192","11411.0","491","10.0","11411","491","2",2.037
"193","11412.0","1010","63.0","11412","1010","6",6.238
"194","11413.0","934","22.0","11413","934","2",2.355
"195","11414.0","654","34.0","11414","654","5",5.199
"196","11415.0","445","15.0","11415","445","3",3.371
"197","11416.0","984","15.0","11416","984","2",1.524
"198","11417.0","1179","13.0","11417","1179","1",1.103
"199","11418.0","1169","25.0","11418","1169","2",2.139
"200","11419.0","1810","25.0","11419","1810","1",1.381
"201","11420.0","1913","30.0","11420","1913","2",1.568
"202","11421.0","1562","38.0","11421","1562","2",2.433
"203","11422.0","686","3.0","11422","686","0",0.437
"204","11423.0","654","17.0","11423","654","3",2.599
"205","11426.0","306","6.0","11426","306","2",1.961
"206","11427.0","346","19.0","11427","346","5",5.491
"207","11428.0","448","17.0","11428","448","4",3.795
"208","11429.0","610","25.0","11429","610","4",4.098
"209","11430.0","105","0","11430","105","0",0.000
"210","11432.0","1363","64.0","11432","1363","5",4.696
"211","11433.0","1318","28.0","11433","1318","2",2.124
"212","11434.0","1501","30.0","11434","1501","2",1.999
"213","11435.0","1595","67.0","11435","1595","4",4.201
"214","11436.0","677","21.0","11436","677","3",3.102
"215","11691.0","1171","25.0","11691","1171","2",2.135
"216","11692.0","457","11.0","11692","457","2",2.407
"217","11693.0","502","8.0","11693","502","2",1.594
"218","11694.0","885","30.0","11694","885","3",3.390
"219","11695.0","2","0","11695","2","0",0.000
"220","11697.0","16","0","11697","16","0",0.000
"221","12345.0","19","2.0","12345","19","11",10.526
